MEMID,HV106
010020007,"No education, preschool"
010020008,"No education, preschool"
010021001,Primary
010021002,"No education, preschool"
010021003,"No education, preschool"
010021004,"No education, preschool"
010022001,Secondary
010022002,Primary
010022003,Secondary
010022004,Primary
010023001,Primary
010023002,Primary
010023003,Primary
010023004,"No education, preschool"
010023005,"No education, preschool"
010023006,"No education, preschool"
010024001,Primary
010024002,"No education, preschool"
010024003,Primary
010024004,Primary
010024005,"No education, preschool"
010024006,"No education, preschool"
010025001,Primary
010025002,Primary
010025003,Secondary
010025004,Secondary
010025005,Primary
010025006,"No education, preschool"
010025007,"No education, preschool"
010025008,"No education, preschool"
010026001,Primary
010028001,"No education, preschool"
010028002,"No education, preschool"
010028003,Primary
010028004,"No education, preschool"
011001001,Primary
011001002,Primary
011002001,Secondary
011002002,Primary
011002003,Secondary
011002004,Primary
011002005,Secondary
011002006,"No education, preschool"
011002007,"No education, preschool"
011003001,Primary
011003002,Secondary
011003003,Primary
011003004,"No education, preschool"
011003005,"No education, preschool"
011003006,Primary
011004001,Primary
011004002,"No education, preschool"
011004003,Secondary
011004004,Primary
011004005,Primary
011004006,"No education, preschool"
011005001,Primary
011005002,Primary
011006001,Primary
011006002,Primary
011006003,Primary
011006004,Primary
011006005,Primary
011006006,Primary
011006007,Secondary
011007001,"No education, preschool"
011008001,Primary
011008002,Primary
011008003,"No education, preschool"
011009001,"No education, preschool"
011009002,Primary
011009003,Primary
011009004,Primary
011009005,"No education, preschool"
011009006,"No education, preschool"
011009007,"No education, preschool"
011011001,Primary
011011002,Primary
011011003,Primary
011011004,Secondary
011011005,Primary
011011006,Primary
011011007,Primary
011011008,"No education, preschool"
011012001,"No education, preschool"
011012002,Secondary
011013001,Primary
011013002,"No education, preschool"
011013003,Primary
011013004,"No education, preschool"
011013005,Primary
011013006,Primary
011013007,Primary
011013008,"No education, preschool"
011014001,Primary
011014002,Primary
011014003,Secondary
011014004,Primary
011014005,"No education, preschool"
011015001,Primary
011015002,Primary
011015003,Primary
011016001,Primary
011016002,Primary
011017001,Primary
011017002,Primary
011017003,Primary
011017004,Secondary
011017005,Primary
011018001,Primary
011018002,Primary
011018003,"No education, preschool"
011019001,Primary
011019002,Primary
011019003,Primary
011019004,"No education, preschool"
011019005,"No education, preschool"
011019006,"No education, preschool"
011020001,Primary
011020002,Primary
011020003,"No education, preschool"
011022001,Primary
011022002,Primary
011022003,Primary
011022004,"No education, preschool"
011023001,Secondary
011023002,Secondary
011023003,Primary
011023004,"No education, preschool"
011024001,"No education, preschool"
011024002,Primary
011024003,Primary
011024004,"No education, preschool"
011024005,Secondary
011025001,Primary
